0 7148880 3158735708 527854053 4194304 13075
-1 -1 1 0 0 2 1
-1 -1 1 0 0 2 1
0 1 2 2 1 5 2
0 2 3 5 2 14 13
1 2 3 5 2 14 13
3 4 6 14 13 21 36
2 5 8 21 36 54 119
0 3 4 28 66 113 455
0 5 7 31 71 54 119
1 3 4 48 110 54 119
6 8 15 54 119 1174 8094
6 9 12 54 119 110 427
8 9 11 54 119 71 273
1 12 12 71 273 1371 9779
5 9 10 85 373 350 1820
2 9 6 108 426 203 943
3 11 15 110 427 232 1131
5 7 10 113 455 173 673
4 6 11 132 548 169 646
4 12 14 150 599 195 867
0 4 4 169 646 237 1177
0 18 12 169 646 379 2019
4 18 14 169 646 282 1544
5 17 16 173 673 187 809
3 23 19 187 809 501 3082
7 19 18 195 867 237 1177
11 15 18 203 943 2014 16780
4 16 18 232 1131 463 2832
20 25 22 237 1177 370 1963
0 17 11 278 1536 1652 12611
7 22 18 282 1544 11787 182047
4 17 13 321 1710 426 2365
7 9 8 326 1718 884 5700
14 25 28 350 1820 1436 10261
2 16 17 356 1860 866 5534
11 28 34 370 1963 426 2365
21 23 28 379 2019 640 3852
31 35 47 426 2365 6899 86216
27 31 31 463 2832 914 5959
21 24 31 501 3082 1700 12990
14 27 28 506 3131 1845 14941
11 20 16 544 3402 727 4368
6 11 20 554 3442 1540 11184
12 20 15 557 3447 959 6386
3 6 11 561 3452 871 5560
19 20 18 566 3498 2014 16780
11 21 24 582 3580 727 4368
17 31 23 593 3629 836 5346
3 19 17 605 3687 2817 24624
3 17 13 616 3735 1236 8483
14 21 22 627 3772 8342 111669
15 36 34 640 3852 710 4227
5 51 40 710 4227 772 4809
41 46 40 727 4368 2688 22767
22 52 54 772 4809 1559 11369
2 12 13 797 5054 5574 65490
18 47 34 836 5346 982 6576
7 31 17 858 5491 1753 13505
1 34 18 866 5534 6419 78034
15 44 17 871 5560 1525 11097
21 32 20 884 5700 2778 24021
12 38 42 914 5959 1839 14844
18 27 29 934 6160 7328 91648
12 43 26 959 6386 5560 65137
2 24 21 974 6518 982 6576
56 64 55 982 6576 1276 8636
27 41 34 1028 7146 1044 7232
16 66 49 1044 7232 2604 21765
1 20 5 1112 7797 1156 8027
19 36 42 1119 7834 1868 15257
32 68 13 1156 8027 2509 20485
8 16 22 1167 8069 1276 8636
8 10 22 1174 8094 2887 25632
19 43 29 1195 8216 1335 9495
1 18 12 1205 8299 3512 34894
14 49 23 1236 8483 2374 19215
21 65 67 1276 8636 1750 13473
21 71 34 1276 8636 4897 54620
65 71 77 1276 8636 3471 33982
3 73 32 1335 9495 1559 11369
10 49 28 1363 9722 1427 10188
13 31 25 1371 9779 1868 15257
0 49 14 1380 9857 1613 12124
19 38 45 1416 10096 4842 53376
49 80 41 1427 10188 4038 41910
25 33 46 1436 10261 3743 38086
6 59 25 1525 11097 2817 24624
35 42 54 1540 11184 3765 38381
54 79 86 1559 11369 2511 20491
1 27 19 1565 11445 8476 114695
15 82 20 1613 12124 1992 16569
34 65 72 1624 12260 1750 13473
6 29 19 1652 12611 2283 18602
27 39 49 1700 12990 2233 18182
76 91 139 1750 13473 5040 57097
6 57 25 1753 13505 18846 352310
14 61 52 1839 14844 3199 29886
13 40 40 1845 14941 2857 25184
69 81 67 1868 15257 2735 23306
14 28 32 1933 16010 3765 38381
57 90 37 1992 16569 4699 50488
26 45 36 2014 16780 3316 31496
32 47 31 2039 16988 3512 34894
79 81 57 2056 17191 59511 1746262
11 31 25 2121 17680 4679 50299
3 93 52 2233 18182 2539 20901
35 39 65 2240 18232 2377 19240
4 92 22 2283 18602 4850 53582
34 69 59 2285 18606 18957 355070
34 75 40 2374 19215 3258 30651
26 106 83 2377 19240 3471 33982
57 81 42 2416 19806 9519 135214
32 70 21 2509 20485 5916 70326
32 88 94 2511 20491 4133 42971
1 105 53 2539 20901 3120 28490
27 54 72 2556 21121 24481 492494
34 67 66 2604 21765 5253 61218
15 53 46 2688 22767 3316 31496
46 79 56 2698 22862 3738 37986
6 82 22 2711 23106 25015 507343
7 69 46 2719 23166 11916 185911
13 98 79 2735 23306 3000 26928
75 81 48 2775 24010 4188 43583
33 60 48 2778 24021 12770 203275
8 91 79 2800 24293 3122 28497
48 86 42 2817 24624 18684 349089
0 97 41 2857 25184 4245 44316
51 72 56 2887 25632 3538 35358
12 79 43 2945 26311 3387 32658
23 106 81 2987 26774 7303 91259
8 121 86 3000 26928 8108 106843
20 43 19 3060 27849 5785 68728
33 51 62 3105 28330 11270 169853
72 114 75 3120 28490 6032 72328
20 124 83 3122 28497 4842 53376
13 96 64 3199 29886 7328 91648
24 66 53 3211 30025 17131 306353
15 109 46 3258 30651 3426 33155
73 124 108 3271 30855 12919 206600
101 117 82 3316 31496 3690 37526
45 128 61 3387 32658 4693 50447
72 137 68 3426 33155 4440 46862
78 110 160 3471 33982 11398 172278
74 102 43 3512 34894 8904 125237
109 127 96 3538 35358 9910 142663
39 66 65 3670 37291 5394 63232
10 139 97 3690 37526 4695 50477
54 118 110 3738 37986 6668 81784
60 85 66 3743 38086 9661 138791
87 99 86 3765 38381 6522 79538
10 57 32 3829 39787 5253 61218
66 88 120 3971 41254 21695 424977
28 67 71 3974 41266 5541 64890
54 84 95 4038 41910 5011 56723
74 113 106 4133 42971 4329 45432
57 69 59 4178 43492 6113 73590
3 122 51 4188 43583 7612 97082
25 126 59 4245 44316 6084 73072
8 154 113 4329 45432 4534 48347
16 139 97 4430 46784 7857 102080
0 141 69 4440 46862 6522 79538
13 158 125 4534 48347 10743 158571
56 88 120 4645 49925 11663 178932
46 104 49 4679 50299 5067 57936
13 110 95 4686 50382 10241 149561
80 140 89 4693 50447 5560 65137
16 146 112 4695 50477 34416 806291
93 100 86 4699 50488 7508 94620
1 102 32 4825 53132 7053 88069
83 134 128 4842 53376 18286 338423
96 107 74 4850 53582 7392 92933
76 77 101 4897 54620 7838 101797
78 153 172 5011 56723 10715 158131
45 140 79 5029 56944 166807 6901103
94 109 179 5040 57097 8263 109383
36 163 77 5067 57936 5555 65034
24 65 74 5184 60334 21802 427649
27 79 50 5207 60656 11108 167258
5 28 28 5240 61041 12350 195984
116 150 98 5253 61218 7591 96334
87 141 122 5346 62672 6662 81627
61 145 107 5394 63232 7553 95356
12 128 54 5480 64342 5924 70429
49 145 78 5506 64583 8358 111968
48 152 88 5541 64890 8358 111968
16 175 92 5555 65034 5926 70430
63 165 115 5560 65137 7857 102080
55 94 152 5574 65490 18957 355070
81 116 91 5730 68094 126552 4715332
121 131 98 5785 68728 404065 22573748
141 163 117 5791 68844 6466 78581
91 112 93 5916 70326 36375 866687
49 182 67 5924 70429 7343 91913
60 185 112 5926 70430 387805 21471978
47 133 98 6032 72328 19177 359629
8 157 66 6084 73072 11826 183379
61 155 101 6113 73590 12780 203387
84 146 138 6160 74344 16675 293631
84 131 60 6186 74860 19488 367169
134 137 129 6189 74872 13868 228973
16 45 33 6286 76618 9479 134492
81 94 164 6355 77486 16735 294485
85 127 102 6372 77602 77091 2421664
4 58 21 6419 78034 49979 1410922
51 190 151 6466 78581 23624 469867
48 139 99 6477 78752 6960 86991
149 160 155 6522 79538 37141 889218
59 180 139 6662 81627 45010 1199914
